"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"6";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"Q1, Q2, Q3, Q4, Q5, Q6";"NPN Transistror";"";"";"";"";"";
"11";"";"OG-PJ301_PJ301_THONKICONN8";"OG-PJ301_WQP_PJ_301M8";"AUDIO_OUT, CLOCK, CV_B, CV_G, CV_R, CV_Y, IN_B, IN_G, IN_R, IN_Y, RESET_CLOCK";"";"";"";"";"";"";
"2";"1.0k";"R-US_R0603";"R0603";"R1, R55";"RESISTOR, American symbol";"";"";"";"";"";
"14";"100k";"R-US_R0603";"R0603";"R4, R5, R6, R7, R11, R12, R13, R14, R15, R16, R17, R20, R21, R56";"RESISTOR, American symbol";"";"";"";"";"";
"4";"100n";"C-EUC0805";"C0805";"C1, C2, C3, C7";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"100n";"C-USC0603";"C0603";"C27, C28";"CAPACITOR, American symbol";"";"";"";"";"";
"2";"100p";"C-USC0603";"C0603";"C21, C22";"CAPACITOR, American symbol";"";"";"";"";"";
"4";"10k";"POT_USVERTICAL";"ALPS_POT_VERTICAL";"POT_B, POT_G, POT_R, POT_Y";"";"";"";"";"";"";
"4";"10k";"R-US_R0603";"R0603";"R3, R8, R9, R10";"RESISTOR, American symbol";"";"";"";"";"";
"2";"10u";"CPOL-EUE2.5-5";"E2,5-5";"C5, C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"1";"10u";"CPOL-USB";"PANASONIC_B";"C24";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"2";"1N5819HW";"DIODE-SOD123";"SOD123";"D1, D2";"DIODE";"";"";"";"";"";
"1";"24.9k";"R-US_R0603";"R0603";"R50";"RESISTOR, American symbol";"";"";"";"";"";
"2";"39k";"R-US_R0603";"R0603";"R45, R46";"RESISTOR, American symbol";"";"";"";"";"";
"1";"47p";"C-USC0603";"C0603";"C29";"CAPACITOR, American symbol";"";"";"";"";"";
"2";"47u";"CPOL-USD";"PANASONIC_D";"C25, C30";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"1";"7805DT";"7805DT";"TO252";"IC2";"Positive VOLTAGE REGULATOR";"";"";"";"";"";
"1";"ATMEGA328P-AU";"TQFP32-08";"IC6";"";"";"";"";"";"";
"1";"AVRISP";"AVR_SPI_PRG_6PTH";"2X3";"AVR_ISP";"AVR ISP 6 Pin";"";"";"";"";"";
"4";"D6R";"D6R";"D6R";"SW_B, SW_G, SW_R, SW_Y";"C&K D6R";"";"";"";"";"";
"1";"M05X2SHD";"M05X2SHD";"2X5-SHROUDED";"JP1";"Header 5x2";"";"";"";"";"";
"1";"MCP4921";"MCP4921SO08";"SO08";"IC4";"";"";"";"";"";"";
"1";"MCP6004_SMD";"MCP6004_SMD";"SO14";"U1";"Generic Quad Op Amp";"";"";"";"";"";
"1";"RGBLED_CA-5MM";"RGBLED_CA-5MM";"LED5MMRGB";"LED_RGB";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";"";"";"";"";
"1";"Resonator 16MHz";"90M15AUM1";"UM1";"QF1";"Monolithic Crystal Filters";"";"";"unknown";"unknown";"";
"4";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"SW_PL, SW_RE, SW_SH, SW_TA";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";" SWCH-08441";
"1";"TL072";"TL072D";"SO08";"IC10";"OP AMP";"";"";"";"";"";
